iter	Passed	Remaining
422	1839	2509
423	1842	2503
424	1845	2497
425	1848	2491
426	1851	2484
427	1854	2478
428	1857	2472
429	1860	2466
430	1863	2460
431	1866	2453
432	1868	2447
433	1871	2440
434	1874	2434
435	1878	2430
436	1881	2423
437	1884	2417
438	1886	2411
439	1889	2405
440	1893	2399
441	1895	2393
442	1898	2387
443	1901	2380
444	1904	2374
445	1907	2369
446	1910	2363
447	1912	2357
448	1915	2351
449	1919	2345
450	1923	2341
451	1926	2335
452	1929	2329
453	1935	2327
454	1938	2321
455	1941	2315
456	1943	2309
457	1946	2303
458	1949	2297
459	1952	2291
460	1955	2286
461	1957	2280
462	1960	2274
463	1963	2268
464	1968	2264
465	1971	2259
466	1974	2253
467	1977	2247
468	1979	2241
469	1982	2235
470	1985	2229
471	1988	2224
472	1990	2218
473	1993	2212
474	1996	2207
475	1999	2201
476	2002	2195
477	2005	2190
478	2009	2185
479	2013	2180
480	2015	2175
481	2018	2169
482	2021	2164
483	2024	2158
484	2027	2153
485	2030	2147
486	2034	2142
487	2037	2137
488	2044	2136
489	2046	2130
490	2050	2125
491	2055	2122
492	2059	2117
493	2062	2112
494	2065	2107
495	2068	2101
496	2070	2095
497	2073	2090
498	2076	2084
499	2078	2078
500	2082	2073
501	2085	2068
502	2087	2062
503	2090	2057
504	2093	2052
505	2098	2048
506	2102	2044
507	2106	2040
508	2110	2036
509	2113	2030
510	2116	2025
511	2119	2020
512	2122	2014
513	2125	2009
514	2128	2004
515	2131	1999
516	2134	1994
517	2137	1988
518	2140	1983
519	2144	1979
520	2147	1974
521	2149	1968
522	2152	1963
523	2156	1958
524	2159	1953
525	2162	1948
526	2164	1943
527	2167	1937
528	2170	1932
529	2173	1927
530	2176	1922
531	2179	1917
532	2182	1912
533	2188	1910
534	2191	1905
535	2194	1899
536	2197	1894
537	2201	1890
538	2205	1886
539	2208	1881
540	2211	1876
541	2214	1871
542	2217	1866
543	2221	1861
544	2224	1857
545	2227	1851
546	2232	1848
547	2235	1844
548	2239	1839
549	2242	1834
550	2244	1829
551	2247	1824
552	2250	1819
553	2253	1813
554	2256	1809
555	2259	1804
556	2262	1799
557	2265	1794
558	2268	1789
559	2271	1784
560	2274	1779
561	2279	1776
562	2281	1771
563	2284	1766
564	2287	1761
565	2291	1756
566	2294	1751
567	2296	1746
568	2299	1741
569	2302	1737
570	2305	1732
571	2308	1727
572	2311	1722
